key,text,region,cityname,citytype,district,street,bldnum,bldlist
443,"ք.ԵՐԵՎԱՆ, ԱՅՎԱԶՈՎՍԿՈՒ փող. 10",Երևան,Երևան,քաղաք,,Այվազովսկու փողոց,10,
445,"գ.ՍԵՐՍ, 1 փող.",Վայոց ձորի մարզ,Սերս,գյուղ,,1-ին փողոց,,
447,գ.ՀԱՑԻԿ (ԱԽՈՒՐՅԱՆԻ շրջ.),Արմավիրի մարզ,Հացիկ,գյուղ,,,,
448,"գ.ՀԱՑԻԿ (ԱԽՈՒՐՅԱՆԻ շրջ.), 2",Արմավիրի մարզ,Հացիկ,գյուղ,,2-րդ փողոց,,
449,"գ.ՀԱՑԻԿ (ԱԽՈՒՐՅԱՆԻ շրջ.), 13 փող. 19",Արմավիրի մարզ,Հացիկ,գյուղ,,13-րդ փողոց,19,
450,գ.ԱՐԵՎԻԿ (ԱԽՈՒՐՅԱՆԻ շրջ.),Սյունիքի մարզ,Արևիկ,գյուղ,,,,
451,"գ.ՄԱՐՄԱՇԵՆ, 13 փող. 21",Արարատի մարզ,Մարմաշեն,գյուղ,,13-րդ փողոց,21,
452,"ք.ԳՅՈՒՄՐԻ, ՕԴԱՆԱՎԱԿԱՅԱՆ",Շիրակի մարզ,Գյումրի,քաղաք,,,,
453,"ք.ԳՅՈՒՄՐԻ, ՀԱՑԻԿԻ խճ. 6",Շիրակի մարզ,Գյումրի,քաղաք,,Հացիկի խճուղի,6,
454,"գ.ՀԱՑԻԿ (ԱԽՈՒՐՅԱՆԻ շրջ.), 1",Արմավիրի մարզ,Հացիկ,գյուղ,,1-ին փողոց,,
455,"ք.ԳՅՈՒՄՐԻ, ԹԲԻԼԻՍՅԱՆ խճ. 5",Շիրակի մարզ,Գյումրի,քաղաք,,Թբիլիսյան խճուղի,5,
456,"ք.ԳՅՈՒՄՐԻ, ԲԱՂՐԱՄՅԱՆ փող. 76",Շիրակի մարզ,Գյումրի,քաղաք,,Բաղրամյան փողոց,76,
457,"ք.ԳՅՈՒՄՐԻ, Հ.ՂԱՆԴԻԼՅԱՆ փող.",Շիրակի մարզ,Գյումրի,քաղաք,,Հ. Ղանդիլյանի փողոց,,
458,գ.ՕԹԵՎԱՆ,Արագածոտնի մարզ,Օթևան,գյուղ,,,,
459,"գ.ՋՐՎԵԺ, 3 թաղ. 7",Կոտայքի մարզ,Ջրվեժ,գյուղ,,3 թաղամաս,7,
460,"ք.ԵՐԵՎԱՆ, ՋՐՎԵԺ, ԲԱՆԱՎԱՆ թաղ.",Երևան,Երևան,քաղաք,Նոր Նորք,Բանավան թաղամաս,,
460,"ք.ԵՐԵՎԱՆ, ՋՐՎԵԺ, ԲԱՆԱՎԱՆ թաղ.",Երևան,Երևան,քաղաք,Նոր Նորք,Ջրվեժ թաղամաս,,
462,"գ.ՁՈՐԱՂԲՅՈՒՐ, 1 թաղ. 31",Կոտայքի մարզ,Ձորաղբյուր,գյուղ,,1 թաղամաս,31,
465,"գ.ՁՈՐԱՂԲՅՈՒՐ, ԱՄԱՌԱՆՈՑ թաղ.",Կոտայքի մարզ,Ձորաղբյուր,գյուղ,,Ամառանոց թաղամաս,,
466,"գ.ՋՐՎԵԺ, 3 դաշտ 7",Կոտայքի մարզ,Ջրվեժ,գյուղ,,3 դաշտ,7,
467,"գ.ՁՈՐԱՂԲՅՈՒՐ, 1 թաղ. 25",Կոտայքի մարզ,Ձորաղբյուր,գյուղ,,1 թաղամաս,25,
468,"ք.ԵՐԵՎԱՆ, ՔՈՉԻՆՅԱՆ փող. 13",Երևան,Երևան,քաղաք,,Քոչինյան փողոց,13,
469,"ք.ԵՐԵՎԱՆ, ԳԱՅԻ պող. 16",Երևան,Երևան,քաղաք,,Գայի պողոտա,16,
470,"ք.ԵՐԵՎԱՆ, ՆՈՐ ՆՈՐՔԻ 1 զանգված",Երևան,Երևան,քաղաք,Նոր Նորք,1 զանգված,,
471,"գ.ԼԵՌՆԱՀՈՎԻՏ (ՏԱՇԻՐԻ շրջ.), 1 փող.",Լոռու մարզ,Լեռնահովիտ,գյուղ,,1-ին փողոց,,
472,գ.ԲԱՂՐԱՄՅԱՆ (ԲԱՂՐԱՄՅԱՆԻ շրջ.),Արմավիրի մարզ,Բաղրամյան,գյուղ,,,,
473,ք.ՄԵԾԱՄՈՐ,Արմավիրի մարզ,Մեծամոր,քաղաք,,,,
474,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 2-19",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,2-19
475,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 3",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,3,
476,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 19",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,19,
477,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 2-25",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,2-25
478,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 2",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,2,
479,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 1-3",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,1-3,
480,"ք.ՄԵԾԱՄՈՐ, 3 փող. 2",Արմավիրի մարզ,Մեծամոր,քաղաք,,3-րդ փողոց,2,
481,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 4",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,4,
482,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 11",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,11,
483,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 2-23",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,2-23,
484,"ք.ՄԵԾԱՄՈՐ, 1-17",Արմավիրի մարզ,Մեծամոր,քաղաք,,,,
485,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 15",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,15,
486,"ք.ՄԵԾԱՄՈՐ, ՆՈՐԱԿԱՌՈՒՅՑ թաղ. Գ",Արմավիրի մարզ,Մեծամոր,քաղաք,,Նորակառույց թաղամաս,,
487,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Զ",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,3,
488,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 5",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,5,
489,"ք.ՄԵԾԱՄՈՐ, ՆՈՐԱԿԱՌՈՒՅՑ թաղ. 1",Արմավիրի մարզ,Մեծամոր,քաղաք,,Նորակառույց թաղամաս,1,
490,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Դ",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Դ,
491,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Ե-15",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Ե-15,
492,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 1-23",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,1-23
493,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 1",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,1,
494,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 3-26",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,3-26
495,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Ե-7",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Ե-7,
496,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Դ-3",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Դ-3,
497,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 1-15",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,1-15
498,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Ե",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Ե,
499,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Դ-2",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Դ-2,
500,"ք.ՄԵԾԱՄՈՐ, 3 թաղ.",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,,
501,"ք.ՄԵԾԱՄՈՐ, 1 թաղ. 11",Արմավիրի մարզ,Մեծամոր,քաղաք,,1 թաղամաս,11,
502,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 13",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,13,
503,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 1-1",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,1-1,
504,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. 12",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,12,
505,"ք.ՄԵԾԱՄՈՐ, 3 թաղ. Գ-9",Արմավիրի մարզ,Մեծամոր,քաղաք,,3 թաղամաս,Գ-9,
506,"գ.ՍՅՈՒՆԻՔ, ԳԱՂԹԱԿԱՆ թաղ. 38/2.6.43",Սյունիքի մարզ,Սյունիք,գյուղ,,Գաղթական թաղամաս,38/2,
507,"գ.ՍՅՈՒՆԻՔ, ԳԱՂԹԱԿԱՆ թաղ. 39",Սյունիքի մարզ,Սյունիք,գյուղ,,Գաղթական թաղամաս,39,
508,"ք.ԵՐԵՎԱՆ, ԱՃԱՌՅԱՆ փող. 31",Երևան,Երևան,քաղաք,,Աճառյան փողոց,31,
509,"ք.ԵՐԵՎԱՆ, ԱՃԱՌՅԱՆ փող. 43",Երևան,Երևան,քաղաք,,Աճառյան փողոց,43,
510,"ք.ԵՐԵՎԱՆ, ԱՃԱՌՅԱՆ փող. 41",Երևան,Երևան,քաղաք,,Աճառյան փողոց,41,
511,"ք.ԳՅՈՒՄՐԻ, ԼԻՍԻՆՅԱՆ փող. 12",Շիրակի մարզ,Գյումրի,քաղաք,,Լիսինյան փողոց,12,
512,"ք.ԳՅՈՒՄՐԻ, ԿԱԶԱՉԻ ՊՈՍՏ",Շիրակի մարզ,Գյումրի,քաղաք,,Կազաչի պոստ,,
513,"ք.ԳՅՈՒՄՐԻ, ԵՐԵՎԱՆՅԱՆ խճ.",Շիրակի մարզ,Գյումրի,քաղաք,,Երևանյան խճուղի,,
514,"ք.ԳՅՈՒՄՐԻ, ԼԱԼԱՅԱՆ փող. 19",Շիրակի մարզ,Գյումրի,քաղաք,,Լալայան փողոց,19,
515,"ք.ԳՅՈՒՄՐԻ, ԿԱԶԱՉԻ ՊՈՍՏ 3",Շիրակի մարզ,Գյումրի,քաղաք,,Կազաչի պոստ,3,
516,"ք.ԳՅՈՒՄՐԻ, ԼԱԼԱՅԱՆ փող. 1",Շիրակի մարզ,Գյումրի,քաղաք,,Լալայան փողոց,1,
517,"ք.ԳՅՈՒՄՐԻ, ՄՍԻ ԿՈՄԲԻՆԱՏ 10",Շիրակի մարզ,Գյումրի,քաղաք,,Մսի Կոմբինատ,10,
518,"ք.ԳՅՈՒՄՐԻ, ՄՍԻ ԿՈՄԲԻՆԱՏ 7",Շիրակի մարզ,Գյումրի,քաղաք,,Մսի Կոմբինատ,7,
519,"ք.ԳՅՈՒՄՐԻ, ԿԱԶԱՉԻ ՊՈՍՏ 128",Շիրակի մարզ,Գյումրի,քաղաք,,Կազաչի պոստ,128,
520,"ք.ԳՅՈՒՄՐԻ, ԲԱՐԱՔՆԵՐ",Շիրակի մարզ,Գյումրի,քաղաք,,Բարաքներ,,
521,"ք.ԳՅՈՒՄՐԻ, ԼԻՍԻՆՅԱՆ փող. 8",Շիրակի մարզ,Գյումրի,քաղաք,,Լիսինյան փողոց,8,
522,"ք.ԳՅՈՒՄՐԻ, ԼԱԼԱՅԱՆ փող. 2",Շիրակի մարզ,Գյումրի,քաղաք,,Լալայան փողոց,2,
523,"ք.ԳՅՈՒՄՐԻ, ԿԱԶԱՉԻ ՊՈՍՏ 2",Շիրակի մարզ,Գյումրի,քաղաք,,Կազաչի պոստ,2,
524,"ք.ԳՅՈՒՄՐԻ, ՄՍԻ ԿՈՄԲԻՆԱՏ 124",Շիրակի մարզ,Գյումրի,քաղաք,,Մսի Կոմբինատ,124,
525,"ք.ԵՐԵՎԱՆ, ԵԶՆԻԿ ԿՈՂԲԱՑՈՒ փող. 30",Երևան,Երևան,քաղաք,,Եզնիկ Կողբացու փողոց,30,
526,"ք.ԵՐԵՎԱՆ, ՌՈՒԲԻՆՅԱՆՑ փող. 31",Երևան,Երևան,քաղաք,,Ռուբինյանց փողոց,31,
527,"ք.ԵՐԵՎԱՆ, ՌՈՒԲԻՆՅԱՆՑ փող. 29",Երևան,Երևան,քաղաք,,Ռուբինյանց փողոց,29,
528,"ք.ԵՐԵՎԱՆ, ՌՈՒԲԻՆՅԱՆՑ փող. 50",Երևան,Երևան,քաղաք,,Ռուբինյանց փողոց,50,
529,"ք.ԵՐԵՎԱՆ, ՌՈՒԲԻՆՅԱՆՑ փող. 27",Երևան,Երևան,քաղաք,,Ռուբինյանց փողոց,27,
530,"ք.ԵՐԵՎԱՆ, ՌՈՒԲԻՆՅԱՆՑ փող. 28",Երևան,Երևան,քաղաք,,Ռուբինյանց փողոց,28,
531,"ք.ԵՐԵՎԱՆ, ԲԱԳՐԱՏՈՒՆՅԱՆՑ պող. 8",Երևան,Երևան,քաղաք,,Բագրատունյաց պողոտա,8,
532,"ք.ԵՐԵՎԱՆ, ԲԱԳՐԱՏՈՒՆՅԱՆՑ պող.",Երևան,Երևան,քաղաք,,Բագրատունյաց պողոտա,,
533,"ք.ԵՐԵՎԱՆ, ԲԱԳՐԱՏՈՒՆՅԱՆՑ պող. 10",Երևան,Երևան,քաղաք,,Բագրատունյաց պողոտա,,10
534,"գ.ՄԵԼԻՔԳՅՈՒՂ, 1-ԻՆ ՓՈՂՈՑ",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,1-ին փողոց,,
535,"գ.ՄԵԼԻՔԳՅՈՒՂ, 51",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,51,
536,"գ.ՄԵԼԻՔԳՅՈՒՂ, 2",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,2,
537,"գ.ՄԵԼԻՔԳՅՈՒՂ, 20",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,20,
538,"գ.ՄԵԼԻՔԳՅՈՒՂ, 3 փող",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,3-րդ փողոց,,
539,"գ.ՄԵԼԻՔԳՅՈՒՂ, 1-ՓՈՂ 41",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,1-ին փողոց,41,
540,"գ.ՄԵԼԻՔԳՅՈՒՂ, 5",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,5,
541,"գ.ՄԵԼԻՔԳՅՈՒՂ, 1 փող",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,1-ին փողոց,,
542,"գ.ՄԵԼԻՔԳՅՈՒՂ, 1 Փ",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,1-ին փողոց,,
543,"գ.ՄԵԼԻՔԳՅՈՒՂ, 2 Փ",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,2-րդ փողոց,,
544,"գ.ՄԵԼԻՔԳՅՈՒՂ, 1",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,1,
545,"գ.ՄԵԼԻՔԳՅՈՒՂ, 3",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,3,
546,"գ.ՄԵԼԻՔԳՅՈՒՂ, 3 Փ",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,3-րդ փողոց,,
547,"գ.ՄԵԼԻՔԳՅՈՒՂ, 14",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,14,
548,"գ.ՄԵԼԻՔԳՅՈՒՂ, 6",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,6,
549,"գ.ՄԵԼԻՔԳՅՈՒՂ, 5Փ 3Ն 1ՓԱԿ",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,5-րդ փողոցի 3-րդ նրբանցք 1 փակուղի,,
551,"գ.ՄԵԼԻՔԳՅՈՒՂ, 11",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,11,
552,"գ.ՄԵԼԻՔԳՅՈՒՂ, 54",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,54,
553,"գ.ՄԵԼԻՔԳՅՈՒՂ, 4",Արագածոտնի մարզ,Մելիքգյուղ,գյուղ,,,4,
554,"ք.ԵՐԵՎԱՆ, ԶԱՐՅԱՆ փող. 73",Երևան,Երևան,քաղաք,Արաբկիր,Զաքյան փողոց,73,
555,"գ.ԼՈՒՍԱԿՆ, ԴԱՇՏԱՄԻՋՅԱՆ փող. 1",Արագածոտնի մարզ,Լուսակն,գյուղ,,Դաշտամիջան,1,
557,"ք.ԵՐԵՎԱՆ, ՆԱՐ-ԴՈՍԻ փող. 2",Երևան,Երևան,քաղաք,,Նար-Դոսի փողոց,2,
558,"գ.ԱՐԵՆԻ, ՉԻՎԱՅԻ ՁՈՐ 80",Վայոց ձորի մարզ,Արենի,գյուղ,,Չիվայի Ձոր,80,
559,"ք.ԵՐԵՎԱՆ, ԱՃԱՌՅԱՆ փող. 2 փակ. 3",Երևան,Երևան,քաղաք,,Աճառյան փողոց 2-րդ փակուղի,3,
560,"ք.ԵՐԵՎԱՆ, ԱՃԱՌՅԱՆ փող. 46",Երևան,Երևան,քաղաք,,Աճառյան փողոց,46,
562,"գ.ՓԱՐԱՔԱՐ, 6-8",Արմավիրի մարզ,Փարաքար,գյուղ,,,,6-8
563,գ.ԳԱՅ,Արմավիրի մարզ,Գայ,գյուղ,,,,
566,ք.ԵՐԵՎԱՆ,Երևան,Երևան,քաղաք,,,,
567,"ք.ԵՐԵՎԱՆ, ԱՐԱՐԱՏՅԱՆ 2 զանգված 5",Երևան,Երևան,քաղաք,,Արարատյան փողոց 2 զանգված,5,
568,"ք.ԵՐԵՎԱՆ, ԱՐԱՐԱՏՅԱՆ 2 զանգված 6",Երևան,Երևան,քաղաք,,Արարատյան փողոց 2 զանգված,6,
569,գ.ԵՂԵԳՆՈՒՏ (ԱՐՄԱՎԻՐԻ շրջ.),Արմավիրի մարզ,Եղեգնուտ,գյուղ,,,,
571,գ.ԱՐԱՄՈՒՍ,Կոտայքի մարզ,Արամուս,գյուղ,,,,
572,"ք.ԱԲՈՎՅԱՆ, ԷԴԻԿ ՊԵՏՐՈՍՅԱՆԻ փող. 1",Կոտայքի մարզ,Աբովյան,քաղաք,,Էդիկ Պետրոսյանի փողոց,1,
573,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 2 փակ. 1",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց 2-րդ փակուղի,1,
574,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 2",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց,2,
575,"գ.ԱՅԳԵԿ, ՄՈՒՇԱՎԱՆ թաղ. 6 փող. 8",Արմավիրի մարզ,Այգեկ,գյուղ,Մուշավան թաղամաս,6-րդ փողոց,8,
576,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 2 փակ. 3",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց 2-րդ փակուղի,3,
577,"գ.ԱՅԳԵԿ, ՄՈՒՇԱՎԱՆ 6 թաղ. 6 փող. 6",Արմավիրի մարզ,Այգեկ,գյուղ,Մուշավան թաղամաս,6-րդ փողոց,6,
578,"գ.ՄԵՐՁԱՎԱՆ, ԶԻՆԱՎԱՆ թաղ.",Արմավիրի մարզ,Մերձավան,գյուղ,,Զինավան թաղամաս,,
579,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 2 փակ. 2",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց 2-րդ փակուղի,2,
580,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 3",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց,3,
581,գ.ԱՅԳԵԿ,Արմավիրի մարզ,Այգեկ,գյուղ,,,,
582,"գ.ՄԵՐՁԱՎԱՆ, ԶԻՆԱՎԱՆ թաղ. 5",Արմավիրի մարզ,Մերձավան,գյուղ,,Զինավան թաղաշաս,5,
583,"գ.ԱՅԳԵԿ, 7",Արմավիրի մարզ,Այգեկ,գյուղ,,,7,
584,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 4",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց,4,
585,"գ.ՄԵՐՁԱՎԱՆ, ԶԻՆԱՎԱՆ թաղ. 1",Արմավիրի մարզ,Մերձավան,գյուղ,,Զինավան թաղամաս,1,
586,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 1",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց,1,
587,գ.ՍԱՍՈՒՆԻԿ,Արագածոտնի մարզ,Սասունիկ,գյուղ,,,,
588,"գ.ՄԵՐՁԱՎԱՆ, 7 փող. 2 փակ. 4",Արմավիրի մարզ,Մերձավան,գյուղ,,7-րդ փողոց 2-րդ փակուղի,4,
589,գ.ՄԵՐՁԱՎԱՆ,Արմավիրի մարզ,Մերձավա,գյուղ,,,,
590,"ք.ՄԵԾԱՄՈՐ, 1 թաղ.",Արմավիրի մարզ,Մեծամոր,քաղաք,,1 թաղամաս,,
592,"ք.ՄԵԾԱՄՈՐ, ՀԱՆՐԱԿԱՑԱՐԱՆ",Արմավիրի մարզ,Մեծամոր,քաղաք,,Հանրակագարան,,
593,"ք.ՄԵԾԱՄՈՐ, 1",Արմավիրի մարզ,Մեծամոր,քաղաք,,,1,
594,"ք.ՄԵԾԱՄՈՐ, 1 թաղ. 1",Արմավիրի մարզ,Մեծամոր,քաղաք,,1 թաղամաս,1,
596,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 66",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,66,
597,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 25",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,25,
598,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 62",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,62,
599,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 64",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,64,
600,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 3",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,3,
601,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 60",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,60,
602,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 1",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,1,
603,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 58",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,58,
604,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 54",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,54,
605,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 50",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,50,
606,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 6",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,6,
607,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 10",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,10,
608,"ք.ԳՅՈՒՄՐԻ, ՏՆԱԿԱՅԻՆ ԱՎԱՆ 209",Շիրակի մարզ,Գյումրի,քաղաք,,Տնակային Ավան,209,
609,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 3",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,3,
610,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 68",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,68,
611,ք.ԳՅՈՒՄՐԻ,Շիրակի մարզ,Գյումր,քաղաք,,,,
612,"ք.ԳՅՈՒՄՐԻ, Լ. ՄԱԴՈՅԱՆ փող.",Շիրակի մարզ,Գյումրի,քաղաք,,Մադոյան փողոց,,
613,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 12",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,12,
614,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 52",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,52,
615,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 2",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,2,
616,"ք.ԳՅՈՒՄՐԻ, ՏՆԱԿԱՅԻՆ ԱՎԱՆ 264",Շիրակի մարզ,Գյումրի,քաղաք,,Տնակային Ավան,264,
617,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 1",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,1,
618,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ.",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,,
619,"ք.ԳՅՈՒՄՐԻ, ՏՆԱԿԱՅԻՆ ԱՎԱՆ 238",Շիրակի մարզ,Գյումրի,քաղաք,,Սնակային Ավան,238,
620,"ք.ԳՅՈՒՄՐԻ, ԽՈՐԵՆԱՑՈՒ փող. 56",Շիրակի մարզ,Գյումրի,քաղաք,,Խորենացու փողոց,56,
621,"ք.ԳՅՈՒՄՐԻ, ՄԱՐՄԱՇԵՆԻ խճ. 34",Շիրակի մարզ,Գյումրի,քաղաք,,Մարմաշենի խճուղի,34,
622,"ք.ԵՐԵՎԱՆ, ԾՈՎԱԿԱԼ ԻՍԱԿՈՎԻ պող. 8",Երևան,Երևան,քաղաք,,Ծավակալ Իսակովի պողոտա,8,
623,"ք.ԵՐԵՎԱՆ, ՆՈՒԲԱՐԱՇԵՆԻ 17 փող. 16",Երևան,Երևան,քաղաք,,Նուբարաշենի 17-րդ փողոց,16,
624,"գ.ԼՈՒՍԱՇՈՂ, 13 փող. 1",Արարատի մարզ,Լուսաշող,գյուղ,,13-րդ փողոց,1,
625,"գ.ԼՈՒՍԱՇՈՂ, 16 փող. 50",Արարատի մարզ,Լուսաշող,գյուղ,,16-րդ փողոց,50,
626,"գ.ԼՈՒՍԱՇՈՂ, 12 փող. 8",Արարատի մարզ,Լուսաշող,գյուղ,,12-րդ փողոց,8,
627,"գ.ԼՈՒՍԱՇՈՂ, 17 փող. 3",Արարատի մարզ,Լուսաշող,գյուղ,,17-րդ փողոց,3,
